Cliente;Segmento;Índice de Intensidade Operacional;Lead Time Médio em Dias;Média de Movimentações por Mês;Movimentações Médias Internas em Pallets por Mês;Ocupação Média de Pallets por Mês;Receita Mensal Bruta de Armazenagem;Receita Mensal Bruta de Serviços;Valor Mensal Bruta de Mercadorias;Volume Total Movimentados em Pallets;Margem de Contribuição Estimada
Cliente 1;Agro / Alimentício;0,77;97,00;1942,00;1497,09;32,00;830060,51;59249,86;7994422,83;21362,00;0,42
Cliente 2;Agro / Alimentício;0,90;111,00;1035,82;927,82;31,00;391727,49;6024,44;3772779,37;11394,00;0,48
Cliente 3;Químico;0,11;28,00;349,33;37,17;29,00;48117,59;2174,08;6700167,92;2096,00;0,36
Cliente 4;Agro / Alimentício;1,13;143,00;239,50;271,00;27,00;544588,17;58140,84;1011249,04;2395,00;0,31
Cliente 5;Automotivo;0,72;94,00;134,67;97,00;120,00;34185,23;2254,06;7205484,91;808,00;0,55
Cliente 6;Cosmético / Farma;0,48;92,00;90,70;44,00;18,00;11341,82;4335,74;3124485,79;907,00;0,22
Cliente 7;Agro / Alimentício;0,77;37,00;145,00;111,33;72,00;24910,91;14907,04;7187135,07;435,00;0,34
Cliente 8;Agro / Alimentício;0,38;119,00;100,11;38,11;6,00;23415,67;410,87;1294853,10;901,00;0,18
Cliente 9;Químico;0,35;75,00;85,00;40,00;12,00;18000,00;1200,00;1800000,00;850,00;0,27
Cliente 10;Agro / Alimentício;0,42;95,00;110,00;55,00;15,00;24000,00;1800,00;2400000,00;156,00;0,33
Cliente 11;Agro / Alimentício;0,28;120,00;70,00;32,00;10,00;14000,00;900,00;1200000,00;42,00;0,21
Cliente 12;Químico;0,32;135,00;90,00;45,00;11,00;16500,00;1100,00;1500000,00;10,00;0,25
